
 001 	 25.7574 	 0.7312 	 

 002 	 23.2343 	 0.6915 	 

 003 	 22.9841 	 0.6591 	 

 004 	 25.6529 	 0.7654 	 

 005 	 25.0601 	 0.7227 	 

 006 	 23.8759 	 0.6736 	 

 007 	 23.9108 	 0.6852 	 

 008 	 23.6478 	 0.6474 	 

 009 	 23.4018 	 0.6310 	 

 010 	 25.4948 	 0.7857 	 

 011 	 24.2964 	 0.6750 	 

 012 	 22.0113 	 0.6741 	 

 013 	 24.6030 	 0.7538 	 

 014 	 24.4450 	 0.7278 	 

 015 	 24.3525 	 0.7095 	 

 016 	 23.9948 	 0.7043 	 

 017 	 22.3469 	 0.6066 	 

 018 	 24.6318 	 0.7062 	 

 019 	 23.8509 	 0.6693 	 

 020 	 24.4220 	 0.7118 	 

 AVG 	 24.0566 	 0.6944 	 nan 	 nan 	 
